iter	F1	Logloss
0	0.5231460674	0.6612552385
1	0.6693613581	0.6286448807
2	0.6837265094	0.5979639793
3	0.6768488746	0.570550628
4	0.6088060965	0.5447158498
5	0.676056338	0.5193500768
6	0.6837265094	0.4952397604
7	0.6837265094	0.4745130212
8	0.6837265094	0.4542718514
9	0.6837265094	0.4353227627
10	0.6837265094	0.4172908031
11	0.6837265094	0.3990318427
12	0.6837265094	0.3847932168
13	0.6837265094	0.3711213958
14	0.6837265094	0.3569867832
15	0.6837265094	0.3440170004
16	0.6837265094	0.3307177981
17	0.6837265094	0.3176201137
18	0.6837265094	0.3066103064
19	0.6837265094	0.2951498741
20	0.6837265094	0.2844272167
21	0.6837265094	0.2742671591
22	0.6837265094	0.2659158681
23	0.6837265094	0.2572251494
24	0.6837265094	0.2496574402
25	0.6837265094	0.2425819485
26	0.6837265094	0.2365203933
27	0.6837265094	0.2297070047
28	0.6837265094	0.2227776139
29	0.6837265094	0.2171989164
30	0.6837265094	0.2110373491
31	0.6837265094	0.2056409975
32	0.6837265094	0.2011568235
33	0.6837265094	0.1966555365
34	0.6837265094	0.1917331592
35	0.6837265094	0.1877355877
36	0.6837265094	0.1840078471
37	0.6837265094	0.1795088585
38	0.6837265094	0.1757489156
39	0.6837265094	0.1725382881
40	0.6837265094	0.1682876162
41	0.6837265094	0.1652760723
42	0.6837265094	0.1619835463
43	0.6837265094	0.1592463748
44	0.6837265094	0.1559042552
45	0.6837265094	0.153662553
46	0.6837265094	0.1514934037
47	0.6837265094	0.1494957786
48	0.6837265094	0.146887542
49	0.6837265094	0.1451080202
50	0.6837265094	0.1434686583
51	0.6837265094	0.1413983084
52	0.6837265094	0.1400194414
53	0.6837265094	0.1380169658
54	0.6837265094	0.1365810712
55	0.6837265094	0.1352273941
56	0.6837265094	0.1336371589
57	0.6837265094	0.1324983213
58	0.6837265094	0.1313269909
59	0.6837265094	0.1301824948
60	0.6837265094	0.129076109
61	0.6837265094	0.1277270443
62	0.6837265094	0.1262452356
63	0.6837265094	0.1249489369
64	0.6837265094	0.1240490942
65	0.6837265094	0.1230361674
66	0.6837265094	0.1223197303
67	0.6837265094	0.1214594483
68	0.6837265094	0.1204733579
69	0.6837265094	0.119840536
70	0.6837265094	0.1190433644
71	0.6837265094	0.1183616278
72	0.6837265094	0.1172058196
73	0.6837265094	0.1161523479
74	0.6837265094	0.1156628462
75	0.684	0.1149586271
76	0.6845476381	0.1140120987
77	0.6845476381	0.1133405818
78	0.6848217861	0.1125661735
79	0.6848217861	0.1121006816
80	0.6848217861	0.1116916016
81	0.6853482786	0.1109943807
82	0.6853482786	0.1105822141
83	0.6853482786	0.1101943945
84	0.6853482786	0.1099076035
85	0.6853482786	0.1092247442
86	0.6853482786	0.1088276074
87	0.6853482786	0.1083485414
88	0.6853482786	0.1079053992
89	0.6858743497	0.1076290599
90	0.6858743497	0.1072586796
91	0.6858743497	0.1067803532
92	0.6869252299	0.1065903953
93	0.6869252299	0.1061588449
94	0.68745004	0.1057766431
95	0.68745004	0.1054126997
96	0.6884984026	0.1052549841
97	0.689048761	0.1047211837
98	0.6888	0.1042964715
99	0.6893242703	0.1039252253
100	0.6893242703	0.103568347
101	0.6893242703	0.1032783701
102	0.6893242703	0.1030864126
103	0.6893242703	0.1027488477
104	0.6893242703	0.102469476
105	0.6898481215	0.1022480096
106	0.6904	0.1019813023
107	0.6898481215	0.1018406931
108	0.6904	0.1016206033
109	0.6906762705	0.1014003712
110	0.6904	0.1012508276
111	0.6906762705	0.1010730206
112	0.6906762705	0.1008868523
113	0.6906762705	0.100750114
114	0.6906762705	0.1004717058
115	0.6906762705	0.1003416816
116	0.6906762705	0.1001653464
117	0.6906762705	0.1000459698
